Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F129 Paladini 63.00916374802091 65.10678937315507
panchromatic F129 Paladini 0.8348126469318237 0.8682062858135093
time_domain F129 Paladini 2.4420668809672312 2.6089598888695957
wide_area F158 Paladini 63.00916374802091 65.10678937315507
panchromatic F158 Paladini 0.8348126469318237 0.8682062858135093
time_domain F158 Paladini 2.4420668809672312 2.6089598888695957
wide_area F184 Paladini 48.092884901405746 51.549748220177115
panchromatic F184 Paladini 0.7676438132706424 0.8074318458065636
time_domain F184 Paladini 1.3865566377200977 1.358742837298142
wide_area F213 Paladini 63.00916374802091 65.10678937315507
panchromatic F213 Paladini 0.8348126469318237 0.8682062858135093
time_domain F213 Paladini 2.4420668809672312 2.6089598888695957
