"Deep/spectro/TD field" Science_cases Science_codes Science_topics
Deep_ASCC_85 "Sankrit, Baravalle, Bahramian, Hillenbrand, Rich, Gallart, Kruszynska, Lucas, De_Furio, Meli, DAmmando, Carey1, Anderson, Bachelet, Ivanov, Hunt, Paladini, Werner, Sabin, Craig, Zari" "SP33, SP20, SP27, SP44, SP31, WP04, SP36, WP07, SP24, SP19, SP21, SP12, SP28, SP10, SP14, SP39, SP05, WP08, SP06, SP47, SP40, WP09" "X-ray binaries, OC, Red Giant Stars, Galactic structure, CV, Galaxies, SNR, Survey overlap, AGB, YSO, Extinction map, Star clusters, Sgr A*, Microlensing, Ionized gas, Novae, Symbiotic stars, GC, Compact binaries, Galactic Center, Gal. mag. field, Stellar properties, RR Lyrae, SFR, AGN, Cosmic rays, Planetary nebulae, Stellar ages, Neptune Trojans"
Deep_Acrux "Sankrit, Baravalle, Bahramian, Hillenbrand, Rich, Kruszynska, Lucas, Meli, Carey1, Anderson, Bachelet, Ivanov, Hunt, Paladini, Werner, Sabin, Craig, Minniti, Zari" "SP33, SP20, SP27, SP44, SP31, WP04, WP07, SP24, SP21, SP28, SP10, SP14, SP39, SP05, WP08, SP06, SP47, SP40, SP16, WP09" "X-ray binaries, OC, Red Giant Stars, Galactic structure, CV, Galaxies, SNR, Survey overlap, AGB, FFP, YSO, Extinction map, Star clusters, Sgr A*, Microlensing, Ionized gas, Novae, Symbiotic stars, GC, Compact binaries, Galactic Center, Gal. mag. field, Stellar properties, RR Lyrae, SFR, AGN, Cosmic rays, Planetary nebulae, Neptune Trojans"
Deep_G333 "Sankrit, Villasenor, Baravalle, Bahramian, Rich, Gallart, Lucas, De_Furio, Meli, Carey1, Anderson, Bachelet, Ivanov, Hunt, Paladini, Werner, Sabin, Craig, Zari" "SP33, SP15, SP20, SP27, SP31, WP04, SP36, SP24, SP19, SP21, SP28, SP10, SP14, SP39, SP05, WP08, SP06, SP47, SP40, WP09" "X-ray binaries, OC, Massive stars, Red Giant Stars, CV, Galaxies, SNR, Survey overlap, AGB, YSO, Extinction map, Star clusters, Sgr A*, Microlensing, Ionized gas, Novae, Symbiotic stars, Galactic Center, Gal. mag. field, SFR, AGN, Cosmic rays, Planetary nebulae, Stellar ages"
Deep_M17_Omega "Saydjari, Sankrit, Villasenor, Baravalle, Bahramian, Lim3_grism_targets, Rich, VVV_keyholes_2nd_priority, Gallart, Kruszynska, Lucas, Meli, Ivanov2, Carey1, Craig1, Anderson, Bachelet, Ivanov, Hunt, Craig2, Paladini, Werner, Sabin, Craig, Ivanov1, Za" "SP43, SP33, SP15, SP20, SP27, SP11, SP31, WP04, SP35, SP36, WP07, SP24, SP21, SP39, SP28, SP40, SP10, SP14, SP39, SP05, SP41, WP08, SP06, SP47, SP40, SP38, WP09" "X-ray binaries, Keyholes, OC, Massive stars, Red Giant Stars, Galactic structure, CV, Galaxies, SNR, Survey overlap, AGB, Stellar spectroscopy, YSO, ISM, Extinction map, Star clusters, Sgr A*, Microlensing, Ionized gas, Novae, Symbiotic stars, GC, Compact binaries, Galactic Center, Gal. mag. field, RR Lyrae, SFR, AGN, Cosmic rays, Planetary nebulae, Stellar ages, Neptune Trojans"
Deep_NGC3324_Carina "Villasenor, Baravalle, Bahramian, Rich, Kruszynska, Lian, Lucas, Meli, Anderson, Bachelet, Lim2, Bonito, Werner, Craig, Minniti, Zari" "SP15, SP20, SP27, SP31, WP04, WP07, SP09, SP24, SP21, SP10, SP14, SP25, SP48, SP06, SP40, SP16, WP09" "X-ray binaries, OC, Massive stars, Galactic structure, CV, Galaxies, SNR, FFP, YSO, Sgr A*, Microlensing, Ionized gas, Novae, GC, Compact binaries, Galactic Center, Gal. mag. field, RR Lyrae, SFR, AGN, Molecular Clouds, Cosmic rays, Neptune Trojans"
Deep_NGC5269_5281 "Sankrit, Baravalle, Bahramian, Rich, Kruszynska, Lucas, Meli, Carey1, Anderson, Bachelet, Ivanov, Hunt, Paladini, Werner, Sabin, Craig, Minniti, Zari" "SP33, SP20, SP27, SP31, WP04, WP07, SP24, SP21, SP28, SP10, SP14, SP39, SP05, WP08, SP06, SP47, SP40, SP16, WP09" "X-ray binaries, OC, Red Giant Stars, Galactic structure, CV, Galaxies, SNR, Survey overlap, AGB, FFP, YSO, Extinction map, Star clusters, Sgr A*, Microlensing, Ionized gas, Novae, Symbiotic stars, GC, Compact binaries, Galactic Center, Gal. mag. field, RR Lyrae, SFR, AGN, Cosmic rays, Planetary nebulae, Neptune Trojans"
Deep_NGC6357_Lobster "Saito, Minniti_GCs, Sankrit, Villasenor, Baravalle, Bahramian, Gramze, Rich, Gallart, Kruszynska, Lucas, De_Furio, Meli, Carey1, Navarro, Anderson, Bachelet, Ivanov, Hunt, Paladini, Werner, Sabin, Craig, Zari" "SP51, SP49, SP33, SP15, SP20, SP27, SP45, SP31, WP04, SP36, WP07, SP24, SP19, SP21, SP28, SP18, SP10, SP14, SP39, SP05, WP08, SP06, SP47, SP40, WP09" "X-ray binaries, OC, Massive stars, Red Giant Stars, Solar System Objects, Galactic structure, CV, Galaxies, SNR, Survey overlap, AGB, YSO, Extinction map, Star clusters, Sgr A*, Microlensing, Ionized gas, Novae, Symbiotic stars, GC, Compact binaries, Galactic Center, Gal. mag. field, RR Lyrae, SFR, Stellar populations, AGN, Cosmic rays, Planetary nebulae, Stellar ages, Neptune Trojans"
Deep_Teutsch_84 "Sankrit, Villasenor, Baravalle, Bahramian, Rich, Gallart, Kruszynska, Lucas, De_Furio, Meli, Carey1, Anderson, Bachelet, Ivanov, Hunt, Paladini, Werner, Sabin, Craig, Zari" "SP33, SP15, SP20, SP27, SP31, WP04, SP36, WP07, SP24, SP19, SP21, SP28, SP10, SP14, SP39, SP05, WP08, SP06, SP47, SP40, WP09" "X-ray binaries, OC, Massive stars, Red Giant Stars, Galactic structure, CV, Galaxies, SNR, Survey overlap, AGB, YSO, Extinction map, Star clusters, Sgr A*, Microlensing, Ionized gas, Novae, Symbiotic stars, GC, Compact binaries, Galactic Center, Gal. mag. field, RR Lyrae, SFR, AGN, Cosmic rays, Planetary nebulae, Stellar ages, Neptune Trojans"
Deep_Trumpler_35 "Sankrit, Bahramian, Rich, Gallart, Kruszynska, Lucas, De_Furio, Meli, Carey1, Anderson, Bachelet, Morihana1, Morihana2, Ivanov, Hunt, Paladini, Werner, Sabin, Craig, Zari" "SP33, SP27, SP31, WP04, SP36, WP07, SP24, SP19, SP21, SP28, SP10, SP14, SP22, SP08, SP39, SP05, WP08, SP06, SP47, SP40, WP09" "X-ray binaries, OC, Red Giant Stars, Galactic structure, CV, Galaxies, SNR, Survey overlap, AGB, YSO, Extinction map, Star clusters, Sgr A*, Microlensing, Ionized gas, Novae, Symbiotic stars, GC, Compact binaries, Galactic Center, Gal. mag. field, RR Lyrae, SFR, Cosmic rays, Planetary nebulae, Stellar ages, Neptune Trojans"
Deep_VVV_CL001_UKS_1 "Saito, Minniti_GCs, Sankrit, Baravalle, Bahramian, Kupfer, Gramze, Rich, Gallart, Kruszynska, Lucas, Meli, Carey1, Navarro, Smith, Anderson, Bachelet, Ivanov, Hunt, Paladini, Werner, Sabin, Craig, Carey2, Zari" "SP51, SP49, SP33, SP20, SP27, WP03, SP45, SP31, WP04, SP36, WP07, SP24, SP21, SP28, SP18, SP17, SP10, SP14, SP39, SP05, WP08, SP06, SP47, SP40, SP30, WP09" "X-ray binaries, OC, Red Giant Stars, Solar System Objects, Hypervelocity stars, Galactic structure, CV, Galaxies, SNR, Survey overlap, AGB, YSO, Extinction map, Star clusters, NEO, Interstellar Objects, Sgr A*, Microlensing, Ionized gas, Novae, Symbiotic stars, GC, Compact binaries, Galactic Center, Gal. mag. field, RR Lyrae, SFR, Stellar populations, AGN, Cosmic rays, Planetary nebulae, Stellar ages, Neptune Trojans"
